ExecuteDtTm,t,n,SortTime,CombineTime
09/03/2013 06:12:54,1,8000000,2550,666
09/03/2013 06:13:00,1,8000000,2585,658
09/03/2013 06:13:06,1,8000000,2568,662
09/03/2013 06:13:12,1,8000000,2583,681
09/03/2013 06:13:18,1,8000000,2567,658
09/03/2013 06:13:24,1,8000000,2590,641
09/03/2013 06:13:30,1,8000000,2608,663
09/03/2013 06:13:36,1,8000000,2581,650
09/03/2013 06:13:42,1,8000000,2559,657
09/03/2013 06:13:48,1,9000000,2764,817
09/03/2013 06:13:55,1,9000000,2776,799
09/03/2013 06:14:01,1,9000000,2798,788
09/03/2013 06:14:08,1,9000000,2856,813
09/03/2013 06:14:14,1,9000000,2796,788
09/03/2013 06:14:21,1,9000000,2788,789
09/03/2013 06:14:27,1,9000000,2767,815
09/03/2013 06:14:34,1,9000000,2775,822
09/03/2013 06:14:40,1,9000000,2772,792
09/03/2013 06:14:46,1,9000000,2771,785
09/03/2013 06:14:53,1,10000000,3187,904
09/03/2013 06:15:01,1,10000000,3184,900
09/03/2013 06:15:08,1,10000000,3187,909
09/03/2013 06:15:15,1,10000000,3177,878
09/03/2013 06:15:22,1,10000000,3222,847
09/03/2013 06:15:29,1,10000000,3231,929
09/03/2013 06:15:36,1,10000000,3192,923
09/03/2013 06:15:43,1,10000000,3187,936
09/03/2013 06:15:50,1,10000000,3211,871
09/03/2013 06:15:57,1,10000000,3245,908
09/03/2013 06:16:04,1,10000000,3186,897
09/03/2013 06:16:11,1,10000000,3195,901
09/03/2013 06:16:18,1,10000000,3251,879
09/03/2013 06:16:25,1,10000000,3187,878
09/03/2013 06:16:33,1,10000000,3197,899
09/03/2013 06:16:40,1,10000000,3196,923
09/03/2013 06:16:47,1,10000000,3205,905
09/03/2013 06:16:54,1,10000000,3222,925
09/03/2013 06:17:01,1,10000000,3194,925
09/03/2013 06:17:08,1,10000000,3193,869
09/03/2013 06:17:20,1,20000000,6370,1363
09/03/2013 06:17:32,1,20000000,6107,1380
09/03/2013 06:17:43,1,20000000,6438,1357
09/03/2013 06:17:55,1,20000000,6199,1346
09/03/2013 06:18:07,1,20000000,6126,1342
09/03/2013 06:18:18,1,20000000,6204,1377
09/03/2013 06:18:30,1,20000000,6166,1352
09/03/2013 06:18:41,1,20000000,6429,1373
09/03/2013 06:18:53,1,20000000,6164,1370
09/03/2013 06:19:04,1,20000000,6131,1350
09/03/2013 06:19:20,1,30000000,8782,1978
09/03/2013 06:19:36,1,30000000,8832,1991
09/03/2013 06:19:52,1,30000000,8984,2013
09/03/2013 06:20:08,1,30000000,9096,1999
09/03/2013 06:20:24,1,30000000,9104,2013
09/03/2013 06:20:40,1,30000000,8844,2000
09/03/2013 06:20:56,1,30000000,8937,2024
09/03/2013 06:21:13,1,30000000,8875,2002
09/03/2013 06:21:28,1,30000000,8833,1991
09/03/2013 06:21:45,1,30000000,9231,2013
09/03/2013 06:22:06,1,40000000,12221,2653
09/03/2013 06:22:28,1,40000000,12529,2643
09/03/2013 06:22:49,1,40000000,12387,2622
09/03/2013 06:23:11,1,40000000,12528,2653
09/03/2013 06:23:33,1,40000000,12682,2637
09/03/2013 06:24:10,1,40000000,12382,2635
09/03/2013 06:24:32,1,40000000,12367,2637
09/03/2013 06:24:54,1,40000000,12850,2634
