,T,N,SortTime,CombineTime,
8/21/2013 12:07,16,500,23,17,17
8/21/2013 12:07,16,500,11,17,17
8/21/2013 12:07,16,500,10,19,19
8/21/2013 12:07,16,500,23,17,17
8/21/2013 12:07,16,600,8,18,18
8/21/2013 12:07,16,600,14,18,18
8/21/2013 12:07,16,600,9,18,18
8/21/2013 12:08,16,600,11,21,21
8/21/2013 12:08,16,600,20,20,20
8/21/2013 12:08,16,600,15,19,19
8/21/2013 12:08,16,600,24,20,20
8/21/2013 12:08,16,600,6,19,19
8/21/2013 12:08,16,600,16,18,18
8/21/2013 12:08,16,600,12,20,20
8/21/2013 12:08,16,700,10,21,21
8/21/2013 12:08,16,700,9,22,22
8/21/2013 12:08,16,700,8,22,22
8/21/2013 12:08,16,700,12,22,22
8/21/2013 12:08,16,700,47,31,31
8/21/2013 12:08,16,700,14,28,28
8/21/2013 12:08,16,700,15,20,20
8/21/2013 12:08,16,700,7,22,22
8/21/2013 12:08,16,700,9,22,22
8/21/2013 12:08,16,700,13,21,21
8/21/2013 12:08,16,800,18,23,23
8/21/2013 12:08,16,800,13,19,19
8/21/2013 12:08,16,800,8,22,22
8/21/2013 12:08,16,800,11,27,27
8/21/2013 12:08,16,800,9,25,25
8/21/2013 12:08,16,800,17,26,26
8/21/2013 12:08,16,800,10,25,25
8/21/2013 12:08,16,800,11,24,24
8/21/2013 12:08,16,800,13,25,25
8/21/2013 12:08,16,800,15,25,25
8/21/2013 12:08,16,900,8,7,7
8/21/2013 12:08,16,900,10,23,23
8/21/2013 12:08,16,900,12,27,27
8/21/2013 12:08,16,900,32,25,25
8/21/2013 12:08,16,900,13,23,23
8/21/2013 12:08,16,900,8,29,29
8/21/2013 12:08,16,900,10,22,22
8/21/2013 12:08,16,900,14,23,23
8/21/2013 12:08,16,900,17,28,28
8/21/2013 12:08,16,900,7,28,28
8/21/2013 12:08,32,100,8,13,13
8/21/2013 12:08,32,100,9,24,24
8/21/2013 12:08,32,100,20,13,13
8/21/2013 12:08,32,100,15,15,15
8/21/2013 12:08,32,100,118,14,14
8/21/2013 12:08,32,100,42,53,53
8/21/2013 12:08,32,100,23,74,74
8/21/2013 12:08,32,100,19,12,12
8/21/2013 12:08,32,100,11,49,49
8/21/2013 12:08,32,100,11,13,13
8/21/2013 12:08,32,200,11,18,18
8/21/2013 12:08,32,200,11,15,15
8/21/2013 12:08,32,200,24,15,15
8/21/2013 12:08,32,200,16,17,17
8/21/2013 12:08,32,200,12,14,14
8/21/2013 12:08,32,200,76,72,72
8/21/2013 12:08,32,200,7,17,17
8/21/2013 12:08,32,200,70,72,72
8/21/2013 12:08,32,200,91,34,34
8/21/2013 12:08,32,200,59,73,73
8/21/2013 12:08,32,300,11,17,17
8/21/2013 12:08,32,300,10,17,17
8/21/2013 12:08,32,300,7,15,15
8/21/2013 12:08,32,300,18,47,47
8/21/2013 12:08,32,300,9,33,33
8/21/2013 12:08,32,300,8,26,26
8/21/2013 12:08,32,300,11,17,17
8/21/2013 12:08,32,300,8,19,19
8/21/2013 12:08,32,300,8,17,17
8/21/2013 12:08,32,300,21,121,121
8/21/2013 12:08,32,400,50,97,97
8/21/2013 12:08,32,400,19,23,23
8/21/2013 12:08,32,400,22,19,19
8/21/2013 12:08,32,400,20,21,21
