t,n,SortTime,CombineTime,TotalTime
8,7000,4941557,750106,5691663
8,7000,4710027,833968,5543995
8,7000,4423745,839320,5263065
8,7000,4689802,837322,5527124
8,7000,4294091,751095,5045186
8,7000,5935698,732122,6667820
8,7000,4680701,818606,5499307
8,7000,5018410,845388,5863798
8,7000,4793240,674796,5468036
8,7000,4343045,589852,4932897
8,7000,4229665,609725,4839390
8,7000,4905692,584479,5490171
8,7000,4523035,592846,5115881
8,7000,4465545,600377,5065922
8,7000,4367373,836470,5203843
8,7000,4866379,596091,5462470
8,7000,4618713,591483,5210196
8,7000,4526278,806814,5333092
8,8000,5268198,673969,5942167
8,8000,5267780,682029,5949809
8,8000,5256539,970303,6226842
8,8000,5032711,938013,5970724
8,8000,5015996,962419,5978415
8,8000,4907095,955582,5862677
8,8000,5269312,703558,5972870
8,8000,5438255,934696,6372951
8,8000,5062655,942383,6005038
8,8000,4799714,947018,5746732
8,8000,5140482,813536,5954018
8,8000,4742427,947963,5690390
8,8000,4593064,734088,5327152
8,8000,4932677,717648,5650325
8,8000,4505096,968658,5473754
8,8000,4887209,955015,5842224
8,8000,4895984,844347,5740331
8,8000,4699953,686783,5386736
8,8000,5146379,679821,5826200
8,8000,5639567,966589,6606156
8,8000,5199062,692348,5891410
8,8000,5538067,674100,6212167
8,8000,4885292,673294,5558586
8,8000,5055380,955202,6010582
8,8000,4229078,936785,5165863
8,8000,4451805,954853,5406658
8,8000,4743330,970962,5714292
8,8000,6204251,973386,7177637
8,8000,4842179,956780,5798959
8,8000,5340009,968317,6308326
8,8000,5178962,850023,6028985
8,8000,5092544,670289,5762833
8,8000,5561183,705073,6266256
8,8000,4585640,676059,5261699
8,8000,4948012,951817,5899829
8,8000,4775116,956174,5731290
8,8000,4818088,965588,5783676
8,8000,4617807,687335,5305142
8,8000,5267493,665800,5933293
8,8000,4594250,943715,5537965
8,8000,7213883,690020,7903903
8,8000,4950772,928089,5878861
8,8000,4805218,683810,5489028
8,8000,4621142,949529,5570671
8,8000,5179949,949187,6129136
8,8000,5932818,956552,6889370
8,8000,5536144,825050,6361194
8,8000,4730080,941057,5671137
8,8000,5681922,964849,6646771
8,8000,4637528,944837,5582365
8,8000,4751306,932868,5684174
8,8000,4846304,679290,5525594
8,8000,5287381,688793,5976174
8,8000,4924977,669115,5594092
8,8000,5034124,686108,5720232
8,8000,5287940,677748,5965688
8,8000,4705032,986223,5691255
8,8000,5245552,960604,6206156
8,8000,5120410,960619,6081029
8,8000,5293830,952202,6246032
8,8000,4471519,972360,5443879
8,8000,5026329,947531,5973860
8,8000,4978889,751685,5730574
8,8000,4534968,963775,5498743
8,8000,4738668,966456,5705124
8,8000,5064269,692663,5756932
8,8000,6288315,948934,7237249
8,8000,5282551,964564,6247115
8,8000,4618219,668644,5286863
8,8000,4635784,857927,5493711
8,8000,5192013,933582,6125595
8,8000,6350473,715395,7065868
8,8000,4439758,726864,5166622
8,8000,5150303,677436,5827739
8,8000,4777612,669127,5446739
8,8000,4899454,699883,5599337
8,8000,5192099,933696,6125795
8,8000,5469753,953812,6423565
8,8000,5502537,953629,6456166
8,8000,5219523,945719,6165242
8,8000,5103289,681864,5785153
8,8000,5570502,681465,6251967
8,8000,5072482,952082,6024564
8,8000,5097084,688181,5785265
8,8000,4881063,663331,5544394
8,8000,4930505,668584,5599089
8,8000,5977794,950672,6928466
8,8000,5188301,821492,6009793
8,8000,5048367,944018,5992385
8,8000,4918635,931546,5850181
8,8000,4460035,972495,5432530
8,8000,5141744,965407,6107151
8,8000,5100815,943938,6044753
8,8000,5537626,977724,6515350
8,8000,4630743,988457,5619200
8,8000,4692982,944960,5637942
8,8000,5781752,960481,6742233
8,8000,4841384,697364,5538748
8,8000,5025244,672412,5697656
8,8000,5603930,957949,6561879
8,8000,5459178,816860,6276038
8,8000,4673928,672061,5345989
